Sample#,Sample ID,Dilution,g_per_L,Date and Time,Protein Conc.,Unit,A280,260/280,Sample Type
1,TSA_st_0A,0.000000000000000000,0.000000000000000000,9/23/2019 12:04:09 PM,-0.048,mg/ml,-0.048,0.51,1 Abs = 1 mg / mL
2,TSA_st_0B,0.000000000000000000,0.000000000000000000,9/23/2019 12:06:10 PM,-0.036,mg/ml,-0.036,0.35,1 Abs = 1 mg / mL
3,TSA_st_0C,0.000000000000000000,0.000000000000000000,9/23/2019 12:06:45 PM,-0.027,mg/ml,-0.027,0.23,1 Abs = 1 mg / mL
4,TSA_st_e20A,0.000000953674316406,0.000028610229492188,9/23/2019 12:08:02 PM,-0.015,mg/ml,-0.015,-1.01,1 Abs = 1 mg / mL
5,TSA_st_e20B,0.000000953674316406,0.000028610229492188,9/23/2019 12:08:45 PM,-0.007,mg/ml,-0.007,-2.18,1 Abs = 1 mg / mL
6,TSA_st_e20C,0.000000953674316406,0.000028610229492188,9/23/2019 12:09:21 PM,-0.02,mg/ml,-0.02,-0.72,1 Abs = 1 mg / mL
7,TSA_st_e19A,0.000001907348632813,0.000057220458984375,9/23/2019 12:10:11 PM,-0.004,mg/ml,-0.004,-6.38,1 Abs = 1 mg / mL
8,TSA_st_e19B,0.000001907348632813,0.000057220458984375,9/23/2019 12:10:51 PM,-0.034,mg/ml,-0.034,0.01,1 Abs = 1 mg / mL
9,TSA_st_e19C,0.000001907348632813,0.000057220458984375,9/23/2019 12:11:33 PM,0.029,mg/ml,0.029,2.94,1 Abs = 1 mg / mL
10,TSA_st_e18A,0.000003814697265625,0.000114440917968750,9/23/2019 12:12:37 PM,-0.02,mg/ml,-0.02,-0.09,1 Abs = 1 mg / mL
11,TSA_st_e18B,0.000003814697265625,0.000114440917968750,9/23/2019 12:13:15 PM,-0.026,mg/ml,-0.026,-0.22,1 Abs = 1 mg / mL
12,TSA_st_e18C,0.000003814697265625,0.000114440917968750,9/23/2019 12:13:50 PM,-0.016,mg/ml,-0.016,-0.39,1 Abs = 1 mg / mL
13,TSA_st_e17A,0.000007629394531250,0.000228881835937500,9/23/2019 12:14:37 PM,-0.022,mg/ml,-0.022,-0.39,1 Abs = 1 mg / mL
14,TSA_st_e17B,0.000007629394531250,0.000228881835937500,9/23/2019 12:15:14 PM,-0.005,mg/ml,-0.005,-5.3,1 Abs = 1 mg / mL
15,TSA_st_e17C,0.000007629394531250,0.000228881835937500,9/23/2019 12:15:54 PM,-0.019,mg/ml,-0.019,-0.28,1 Abs = 1 mg / mL
16,TSA_st_e16A,0.000015258789062500,0.000457763671875000,9/23/2019 12:17:08 PM,-0.03,mg/ml,-0.03,0.05,1 Abs = 1 mg / mL
17,TSA_st_e16B,0.000015258789062500,0.000457763671875000,9/23/2019 12:17:41 PM,-0.015,mg/ml,-0.015,-1.35,1 Abs = 1 mg / mL
18,TSA_st_e16C,0.000015258789062500,0.000457763671875000,9/23/2019 12:18:17 PM,-0.023,mg/ml,-0.023,-0.93,1 Abs = 1 mg / mL
19,TSA_st_e15A,0.000030517578125000,0.000915527343750000,9/23/2019 12:19:01 PM,-0.009,mg/ml,-0.009,-1.8,1 Abs = 1 mg / mL
20,TSA_st_e15B,0.000030517578125000,0.000915527343750000,9/23/2019 12:19:28 PM,-0.014,mg/ml,-0.014,-1.14,1 Abs = 1 mg / mL
21,TSA_st_e15C,0.000030517578125000,0.000915527343750000,9/23/2019 12:20:07 PM,-0.018,mg/ml,-0.018,-0.72,1 Abs = 1 mg / mL
22,TSA_st_e14A,0.000061035156250000,0.001831054687500000,9/23/2019 12:21:01 PM,-0.021,mg/ml,-0.021,-0.69,1 Abs = 1 mg / mL
23,TSA_st_e14B,0.000061035156250000,0.001831054687500000,9/23/2019 12:21:40 PM,0.001,mg/ml,0.001,37.43,1 Abs = 1 mg / mL
24,TSA_st_e14C,0.000061035156250000,0.001831054687500000,9/23/2019 12:22:13 PM,0.001,mg/ml,0.001,26.57,1 Abs = 1 mg / mL
25,TSA_st_e13A,0.000122070312500000,0.003662109375000000,9/23/2019 12:23:08 PM,-0.017,mg/ml,-0.017,-1.17,1 Abs = 1 mg / mL
26,TSA_st_e13B,0.000122070312500000,0.003662109375000000,9/23/2019 12:23:56 PM,-0.015,mg/ml,-0.015,-1.29,1 Abs = 1 mg / mL
27,TSA_st_e13C,0.000122070312500000,0.003662109375000000,9/23/2019 12:24:31 PM,-0.021,mg/ml,-0.021,-0.67,1 Abs = 1 mg / mL
28,TSA_st_e12A,0.000244140625000000,0.007324218750000000,9/23/2019 12:25:16 PM,0.003,mg/ml,0.003,18.86,1 Abs = 1 mg / mL
29,TSA_st_e12B,0.000244140625000000,0.007324218750000000,9/23/2019 12:25:58 PM,-0.01,mg/ml,-0.01,-3.65,1 Abs = 1 mg / mL
30,TSA_st_e12C,0.000244140625000000,0.007324218750000000,9/23/2019 12:26:28 PM,-0.006,mg/ml,-0.006,-5.96,1 Abs = 1 mg / mL
31,TSA_st_e11A,0.000488281250000000,0.014648437500000000,9/23/2019 12:27:21 PM,-0.007,mg/ml,-0.007,-3.64,1 Abs = 1 mg / mL
32,TSA_st_e11B,0.000488281250000000,0.014648437500000000,9/23/2019 12:28:16 PM,-0.007,mg/ml,-0.007,-3.44,1 Abs = 1 mg / mL
33,TSA_st_e11C,0.000488281250000000,0.014648437500000000,9/23/2019 12:28:58 PM,0.009,mg/ml,0.009,6.53,1 Abs = 1 mg / mL
34,TSA_st_e10A,0.000976562500000000,0.029296875000000000,9/23/2019 12:29:49 PM,-0.001,mg/ml,-0.001,-27.99,1 Abs = 1 mg / mL
35,TSA_st_e10B,0.000976562500000000,0.029296875000000000,9/23/2019 12:30:23 PM,0.007,mg/ml,0.007,7.22,1 Abs = 1 mg / mL
36,TSA_st_e10C,0.000976562500000000,0.029296875000000000,9/23/2019 12:30:52 PM,0.004,mg/ml,0.004,14.08,1 Abs = 1 mg / mL
37,TSA_st_e10D,0.000976562500000000,0.029296875000000000,9/23/2019 12:31:24 PM,-0.013,mg/ml,-0.013,-2.37,1 Abs = 1 mg / mL
38,TSA_st_e9A,0.001953125000000000,0.058593750000000000,9/23/2019 12:32:08 PM,-0.003,mg/ml,-0.003,-15.85,1 Abs = 1 mg / mL
39,TSA_st_e9B,0.001953125000000000,0.058593750000000000,9/23/2019 12:32:55 PM,0.016,mg/ml,0.016,4.1,1 Abs = 1 mg / mL
40,TSA_st_e9C,0.001953125000000000,0.058593750000000000,9/23/2019 12:33:28 PM,0.005,mg/ml,0.005,13.13,1 Abs = 1 mg / mL
41,TSA_st_e8A,0.003906250000000000,0.117187500000000000,9/23/2019 12:34:19 PM,0.059,mg/ml,0.059,1.91,1 Abs = 1 mg / mL
42,TSA_st_e8B,0.003906250000000000,0.117187500000000000,9/23/2019 12:34:58 PM,0.024,mg/ml,0.024,2.81,1 Abs = 1 mg / mL
43,TSA_st_e8C,0.003906250000000000,0.117187500000000000,9/23/2019 12:35:40 PM,0.038,mg/ml,0.038,2.5,1 Abs = 1 mg / mL
44,TSA_st_e7A,0.007812500000000000,0.234375000000000000,9/23/2019 12:36:29 PM,0.04,mg/ml,0.04,2.48,1 Abs = 1 mg / mL
45,TSA_st_e7B,0.007812500000000000,0.234375000000000000,9/23/2019 12:37:04 PM,0.046,mg/ml,0.046,2.24,1 Abs = 1 mg / mL
