IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep7	2020-09-19	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep7	2020-09-19	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep7	2020-09-19	L3	10
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep8	2020-09-19	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep8	2020-09-19	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	9	NA	Rep8	2020-09-19	L3	10
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep7	2020-09-19	L1	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep7	2020-09-19	L2	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep7	2020-09-19	L3	10
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	1	NA	Rep7	2020-09-19	L1	1
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	1	NA	Rep7	2020-09-19	L2	3
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	1	NA	Rep7	2020-09-19	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep7	2020-09-19	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep7	2020-09-19	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep7	2020-09-19	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	3	NA	Rep8	2020-09-19	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	3	NA	Rep8	2020-09-19	L2	3
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	3	NA	Rep8	2020-09-19	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	7	NA	Rep7	2020-09-19	L1	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	7	NA	Rep7	2020-09-19	L2	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	7	NA	Rep7	2020-09-19	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	4	NA	Rep8	2020-09-19	L1	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	4	NA	Rep8	2020-09-19	L2	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	4	NA	Rep8	2020-09-19	L3	10
25C	Yersinia_kristensenii	0.206666667	0	8.03	TRUE	Non	4	NA	Rep7	2020-09-19	L1	NA
25C	Yersinia_kristensenii	0.206666667	0	8.03	TRUE	Non	4	NA	Rep7	2020-09-19	L2	NA
25C	Yersinia_kristensenii	0.206666667	0	8.03	TRUE	Non	4	NA	Rep7	2020-09-19	L3	10
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	8	NA	Rep8	2020-09-19	L1	NA
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	8	NA	Rep8	2020-09-19	L2	NA
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	8	NA	Rep8	2020-09-19	L3	10
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep8	2020-09-19	L1	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep8	2020-09-19	L2	NA
