SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	35A	34B	BTB_45	2E	32E	50A	45D	33D	2H	20A	35E	13C	33B	50B	54G	40A	BTB_59	36G	24D	47C	36E	20C	25C	25A	32G	35B	24C	45E	CV_raw	CV	Bd_n
Con_2020-09-28_0_Rep10	23	0	Rep10	Bd	2020-09-28	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-28_0_Rep10	24	0	Rep10	CV	2020-09-28	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-28_0_Rep9	11	0	Rep9	CV	2020-09-28	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-28_0_Rep9	15	0	Rep9	Bd	2020-09-28	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_1_Rep10	16	1	Rep10	Bd	2020-09-28	Inhib	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_1_Rep10	18	1	Rep10	CV	2020-09-28	Inhib	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_1_Rep9	14	1	Rep9	Bd	2020-09-28	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_1_Rep9	17	1	Rep9	CV	2020-09-28	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_10_Rep10	3	10	Rep10	Bd	2020-09-28	Inhib	TRUE	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_10_Rep10	5	10	Rep10	CV	2020-09-28	Inhib	TRUE	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_10_Rep9	9	10	Rep9	CV	2020-09-28	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_10_Rep9	13	10	Rep9	Bd	2020-09-28	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_3_Rep10	4	3	Rep10	CV	2020-09-28	Inhib	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_3_Rep10	25	3	Rep10	Bd	2020-09-28	Inhib	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_3_Rep9	7	3	Rep9	Bd	2020-09-28	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-28_3_Rep9	8	3	Rep9	CV	2020-09-28	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_1_Rep10	1	1	Rep10	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_1_Rep10	21	1	Rep10	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_1_Rep9	12	1	Rep9	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_1_Rep9	19	1	Rep9	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_10_Rep10	6	10	Rep10	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA
Non_2020-09-28_10_Rep10	22	10	Rep10	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA
Non_2020-09-28_10_Rep9	2	10	Rep9	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_10_Rep9	20	10	Rep9	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_3_Rep10	10	3	Rep10	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-09-28_3_Rep10	27	3	Rep10	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-09-28_3_Rep9	26	3	Rep9	Bd	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-28_3_Rep9	28	3	Rep9	CV	2020-09-28	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
