Isolate	median	lower95	upper95	PD	IsolateID	sig	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory
ISO_BTB_59	-0.860049426041944	-1.47170128783056	-0.23555933853599	0.0047	BTB_59	TRUE	Pseudomonas_lactis	2.209	0	7.55	TRUE	FALSE
ISO_25C	-0.689058568361361	-1.97791846482176	0.530089191178391	0.1421	25C	FALSE	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	FALSE
ISO_21C	-0.549770940332022	-1.28171127196362	0.0994661359970962	0.0585	21C	FALSE	Serratia_marcescens	0.250666666666667	0	7.12	TRUE	FALSE
ISO_13C	-0.548410742290181	-1.40611254146803	0.418202018320503	0.1215	13C	FALSE	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	TRUE
ISO_33D	-0.19093715613796	-0.948636269979141	0.633251221770677	0.3178	33D	FALSE	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	TRUE
ISO_32G	-0.108139262857462	-0.586684978325178	0.389669328449699	0.3336	32G	FALSE	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	FALSE
ISO_35E	-0.0886840094612562	-1.30410871859946	1.0765850280207	0.4403	35E	FALSE	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	TRUE
ISO_50B	-0.0692272065453593	-1.20160771372475	0.98472687437267	0.4504	50B	FALSE	Chryseobacterium_lactis	0.169666666666667	4	72.94	TRUE	TRUE
ISO_25A	-0.0554114529578969	-1.02373245427209	0.945976358737311	0.4558	25A	FALSE	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	FALSE
ISO_BTB_45	-0.019994199083956	-0.680394650938309	0.700714514164189	0.4782	BTB_45	FALSE	Pseudomonas_protegens	1.62133333333333	9	4.61	TRUE	TRUE
ISO_40A	-0.0170726668799965	-1.49400056771607	1.52984778301996	0.4911	40A	FALSE	Microbacterium_deminutum	0.244	0	0.27	TRUE	FALSE
ISO_34B	0.00781126505097146	-1.18792301723775	1.32094375446169	0.4954	34B	FALSE	Pseudomonas_brenneri	1.12366666666667	3	8.37	TRUE	TRUE
ISO_47C	0.0222793256476129	-0.914799195009685	0.959445238343394	0.4825	47C	FALSE	Kocuria_rhizophila	1.429	0	18.26	TRUE	FALSE
ISO_20C	0.026884159517694	-0.954037661615726	1.00586499512933	0.4777	20C	FALSE	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	FALSE
ISO_20D	0.0636118413207178	-0.76802460619533	0.890260515992372	0.4413	20D	FALSE	Chryseobacterium_aquaticum	0.192666666666667	5	8.82	TRUE	TRUE
ISO_35B	0.207663100968697	-0.91459401241752	1.27305300954876	0.3519	35B	FALSE	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	FALSE
ISO_36A	0.210611349999832	-1.3347597770358	1.80424234215983	0.3917	36A	FALSE	Rhodococcus_fascians	0.346666666666667	0	21.88	TRUE	FALSE
ISO_50A	0.214851335664431	-0.383901820291257	0.847540801965614	0.2422	50A	FALSE	Delftia_acidovorans	0.287666666666667	1	3.19	TRUE	TRUE
ISO_BTB_47	0.241676526054885	-0.529626161196135	0.961273927553777	0.2621	BTB_47	FALSE	Delftia_tsuruhatensis	0.427333333333333	6.5	4.36	TRUE	TRUE
ISO_45E	0.261453918991701	-0.451872799315405	1.00790649532817	0.2401	45E	FALSE	Obesumbacterium_proteus	0.266333333333333	0	6.71	TRUE	FALSE
ISO_BTB_28	0.328071634833191	-0.79955697150323	1.49383399097946	0.2877	BTB_28	FALSE	Comamonas_piscis	0.294333333333333	0	12.82	TRUE	FALSE
ISO_49C	0.328556519376407	-0.570917296355504	1.20444618787837	0.2366	49C	FALSE	Hafnia_paralvei	0.224	0	10.21	TRUE	FALSE
ISO_54G	0.397846111477815	-0.114099837957172	0.923144791363205	0.0658	54G	FALSE	Serratia_fonticola	0.359333333333333	0	5.18	TRUE	FALSE
