Predictor	median	lower95	upper95	PD	IsolateID	sig	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory
ISO_47C	-0.000153099881052262	-0.000319767300639287	2.15208407025554e-05	0.04035	47C	TRUE	Kocuria_rhizophila	1.429	0	18.26	TRUE	FALSE
ISO_20C	-7.34378399541186e-05	-0.000271162084528377	0.000128789366343859	0.23845	20C	FALSE	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	FALSE
ISO_25C	-2.60419653416474e-05	-0.000110424739948319	6.27242457474516e-05	0.2698	25C	FALSE	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	FALSE
ISO_35E	-8.85209318148999e-06	-0.000309150946037395	0.000293704147799596	0.4767	35E	FALSE	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	TRUE
ISO_BTB_47	-7.30263825792463e-06	-6.03392562793377e-05	4.57266547328886e-05	0.39355	BTB_47	FALSE	Delftia_tsuruhatensis	0.427333333333333	6.5	4.36	TRUE	TRUE
ISO_BTB_59	-1.65805358546927e-06	-4.31994813102015e-06	9.66402115932305e-07	0.1053	BTB_59	FALSE	Pseudomonas_lactis	2.209	0	7.55	TRUE	FALSE
ISO_45E	-9.3453790171961e-07	-2.33517466414506e-05	2.22504384957828e-05	0.46895	45E	FALSE	Obesumbacterium_proteus	0.266333333333333	0	6.71	TRUE	FALSE
ISO_BTB_45	-7.75659399140737e-07	-6.85574562149537e-06	5.41374520893931e-06	0.3969	BTB_45	FALSE	Pseudomonas_protegens	1.62133333333333	9	4.61	TRUE	TRUE
ISO_21C	-7.528647781126e-07	-3.15588011392869e-06	1.66451254847632e-06	0.267	21C	FALSE	Serratia_marcescens	0.250666666666667	0	7.12	TRUE	FALSE
ISO_32G	-5.51075201327552e-07	-2.29133944493966e-06	1.16014508837724e-06	0.26725	32G	FALSE	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	FALSE
ISO_20D	-5.39628564093881e-07	-3.03762857877864e-06	2.05334229537998e-06	0.33665	20D	FALSE	Chryseobacterium_aquaticum	0.192666666666667	5	8.82	TRUE	TRUE
ISO_50A	-2.39438840511366e-07	-5.45433032237493e-06	4.85986227983883e-06	0.4644	50A	FALSE	Delftia_acidovorans	0.287666666666667	1	3.19	TRUE	TRUE
ISO_33D	1.14441919443363e-06	-2.96555590739353e-06	5.29859835957543e-06	0.29595	33D	FALSE	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	TRUE
ISO_54G	3.14124739995771e-06	-2.25226808494488e-06	8.40384760271093e-06	0.12185	54G	FALSE	Serratia_fonticola	0.359333333333333	0	5.18	TRUE	FALSE
ISO_50B	4.30456850254666e-06	-6.69264489701053e-05	7.85820429501784e-05	0.45465	50B	FALSE	Chryseobacterium_lactis	0.169666666666667	4	72.94	TRUE	TRUE
ISO_34B	4.84148138956434e-06	-0.000150030957544366	0.000155936443172974	0.47655	34B	FALSE	Pseudomonas_brenneri	1.12366666666667	3	8.37	TRUE	TRUE
ISO_13C	8.32201141209499e-06	-0.00061595158871745	0.000634119573804778	0.489	13C	FALSE	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	TRUE
ISO_BTB_28	1.99668755181071e-05	-4.4352362900824e-05	8.85081172469389e-05	0.2731	BTB_28	FALSE	Comamonas_piscis	0.294333333333333	0	12.82	TRUE	FALSE
ISO_25A	2.98068603766753e-05	-6.42317556583842e-06	6.5631322045157e-05	0.05205	25A	FALSE	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	FALSE
ISO_36A	7.71865873995036e-05	-0.000364161624214454	0.000524184982443967	0.36545	36A	FALSE	Rhodococcus_fascians	0.346666666666667	0	21.88	TRUE	FALSE
ISO_35B	0.000126949008728363	-0.000203244298071124	0.000446704550862047	0.22445	35B	FALSE	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	FALSE
ISO_49C	0.000149720999978184	-4.02253976334226e-05	0.000345160352129743	0.064	49C	FALSE	Hafnia_paralvei	0.224	0	10.21	TRUE	FALSE
ISO_40A	0.000209441974416379	-0.000365903578636892	0.000796890213410091	0.2391	40A	FALSE	Microbacterium_deminutum	0.244	0	0.27	TRUE	FALSE
