Predictor	median	lower95	upper95	PD	IsolateID	sig	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	Response
ISO_13C	-0.449383223304165	-0.91720396776574	0.0206395284554657	0.0314	13C	TRUE	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	TRUE	Bd_micro
ISO_47C	-0.264507553247622	-0.639792123868717	0.124137204064176	0.0859	47C	FALSE	Kocuria_rhizophila	1.429	0	18.26	TRUE	FALSE	Bd_micro
ISO_BTB_59	-0.262002138543182	-0.380404434485352	-0.149845055594235	0	BTB_59	TRUE	Pseudomonas_lactis	2.209	0	7.55	TRUE	FALSE	Bd_micro
ISO_20C	-0.258542059285602	-0.921797184975997	0.343872076265154	0.204	20C	FALSE	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	FALSE	Bd_micro
ISO_21C	-0.185370723068635	-0.382163365412047	0.0135993952132938	0.0321	21C	TRUE	Serratia_marcescens	0.250666666666667	0	7.12	TRUE	FALSE	Bd_micro
ISO_25C	-0.124809364421783	-0.493092279697937	0.254680048863758	0.2592	25C	FALSE	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	FALSE	Bd_micro
ISO_32G	-0.112694762412176	-0.227887205630907	0.0078427365839718	0.0311	32G	TRUE	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	FALSE	Bd_micro
ISO_BTB_45	-0.105184961180634	-0.268973213382728	0.0517678084479864	0.0974	BTB_45	FALSE	Pseudomonas_protegens	1.62133333333333	9	4.61	TRUE	TRUE	Bd_micro
ISO_50A	-0.0726218536268231	-0.230423112875599	0.0785767394039928	0.1834	50A	FALSE	Delftia_acidovorans	0.287666666666667	1	3.19	TRUE	TRUE	Bd_micro
ISO_49C	-0.0684997142131084	-0.387841674249486	0.241148889383647	0.3356	49C	FALSE	Hafnia_paralvei	0.224	0	10.21	TRUE	FALSE	Bd_micro
ISO_BTB_47	-0.0495981027806039	-0.302371710592772	0.195900253060127	0.3422	BTB_47	FALSE	Delftia_tsuruhatensis	0.427333333333333	6.5	4.36	TRUE	TRUE	Bd_micro
ISO_33D	-0.0318791448785338	-0.23809636510509	0.173917930250928	0.3786	33D	FALSE	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	TRUE	Bd_micro
ISO_54G	-0.0104394769412461	-0.147915118106436	0.126443022696714	0.4415	54G	FALSE	Serratia_fonticola	0.359333333333333	0	5.18	TRUE	FALSE	Bd_micro
ISO_25A	-0.00997832497347657	-0.32250068179855	0.316392970990045	0.4756	25A	FALSE	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	FALSE	Bd_micro
ISO_35E	0.0176515980225499	-0.464726160357788	0.501644869770032	0.4672	35E	FALSE	Pseudomonas_chlororaphis	0.992	8	6.46	TRUE	TRUE	Bd_micro
ISO_20D	0.033234206014457	-0.186326658822221	0.272257795708427	0.3848	20D	FALSE	Chryseobacterium_aquaticum	0.192666666666667	5	8.82	TRUE	TRUE	Bd_micro
ISO_40A	0.0383431643124938	-0.489684406813377	0.564207591923188	0.4439	40A	FALSE	Microbacterium_deminutum	0.244	0	0.27	TRUE	FALSE	Bd_micro
ISO_50B	0.0472254826406055	-0.338407164475843	0.429716432842097	0.4052	50B	FALSE	Chryseobacterium_lactis	0.169666666666667	4	72.94	TRUE	TRUE	Bd_micro
ISO_45E	0.112933467916459	-0.126205409578616	0.339727160442403	0.1635	45E	FALSE	Obesumbacterium_proteus	0.266333333333333	0	6.71	TRUE	FALSE	Bd_micro
ISO_BTB_28	0.128453109926268	-0.235139209210873	0.478666699415892	0.2367	BTB_28	FALSE	Comamonas_piscis	0.294333333333333	0	12.82	TRUE	FALSE	Bd_micro
ISO_36A	0.161450071921986	-0.380874350307977	0.676364072963689	0.2732	36A	FALSE	Rhodococcus_fascians	0.346666666666667	0	21.88	TRUE	FALSE	Bd_micro
ISO_35B	0.230563490925751	-0.479961689484797	0.959609453846464	0.2633	35B	FALSE	Frondihabitans_peucedani	1.12166666666667	0	0	TRUE	FALSE	Bd_micro
ISO_34B	0.294212848480721	-0.1910984832467	0.740052528739734	0.106	34B	FALSE	Pseudomonas_brenneri	1.12366666666667	3	8.37	TRUE	TRUE	Bd_micro
ISO_13C	-0.539978671901194	-0.915574298984256	-0.149666238957337	0.0039	13C	TRUE	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	TRUE	Bd_qpcr
ISO_33D	-0.17425465195231	-0.352044683924306	0.00782316218216261	0.0279	33D	TRUE	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	TRUE	Bd_qpcr
ISO_BTB_59	-0.169302264534266	-0.26547840276923	-0.0676421339886881	8e-04	BTB_59	TRUE	Pseudomonas_lactis	2.209	0	7.55	TRUE	FALSE	Bd_qpcr
ISO_50A	-0.134946447964809	-0.261996433405831	0.00351564644738826	0.0242	50A	TRUE	Delftia_acidovorans	0.287666666666667	1	3.19	TRUE	TRUE	Bd_qpcr
ISO_21C	-0.127541169951881	-0.292007484348729	0.0550898334824751	0.0747	21C	FALSE	Serratia_marcescens	0.250666666666667	0	7.12	TRUE	FALSE	Bd_qpcr
ISO_32G	-0.116966014488085	-0.216489245470293	-0.0110481779507699	0.0122	32G	TRUE	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	FALSE	Bd_qpcr
ISO_20D	-0.110761798172058	-0.296907738552503	0.0878605448374357	0.1275	20D	FALSE	Chryseobacterium_aquaticum	0.192666666666667	5	8.82	TRUE	TRUE	Bd_qpcr
ISO_45E	-0.0883238389306143	-0.281990090137336	0.111580129458594	0.191	45E	FALSE	Obesumbacterium_proteus	0.266333333333333	0	6.71	TRUE	FALSE	Bd_qpcr
ISO_BTB_28	-0.0812938016445219	-0.388671499037181	0.220353696347476	0.3021	BTB_28	FALSE	Comamonas_piscis	0.294333333333333	0	12.82	TRUE	FALSE	Bd_qpcr
ISO_40A	-0.0579690644936522	-0.520084858497737	0.402253797736994	0.401	40A	FALSE	Microbacterium_deminutum	0.244	0	0.27	TRUE	FALSE	Bd_qpcr
