Sample_ID	Isolate_ID	Initials_worker	Date_liq_culture	Past_growth_notes	Current_growth_notes	Dilution	Date_InhibPlate_inoc	Measure_day1	Measure_day2	Measure_day3	Max_inhib_zone	ColonyDescription_InhibPlate	ColonyDescription_Past	Description_match?	Sanger_name
13C	13C	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Transparent white, smooth growth, typical structure"		"Hafnia alvei strain JCM 1666 16S ribosomal RNA, partial sequence"
17A	17A	AA	2006-06-20		"correct, growing"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"White, smooth growth, wide margins, typical structure"		"Arthrobacter oryzae strain KV-651 16S ribosomal RNA, partial sequence"
17D	17D	AA	2006-06-20	Did not grow in liquid culture last time	"reisolated pink, grew only on plate"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Bright pink, thin margins, firm and adhesive structure"		"Methylobacterium radiotolerans JCM 2831 strain DSM 1819 16S ribosomal RNA, partial sequence"
17G	17G	AA	2006-06-20		grew on plate	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Orange color, regular margins, adhesive structure"		"Mycolicibacterium bacteremicum strain ATCC 25791 16S ribosomal RNA, partial sequence"
9A	9A	AA	2006-06-20		"correct, growing"	NA	2008-02-20	no Bd lawn yet	fail	fail	NA	"whiteish yellow, clear, goopy and spreads"	"Transparent white, granular growth, thin margins, typical structure"		"Pseudomonas fluorescens strain NBRC 14160 16S ribosomal RNA, partial sequence"
20A	20A	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"grainy, yellow/white"	"Yellowish tint, smooth growth with branching white stems, typical structure. Might be fungal i can’t really tell on this one"		"Bacillus wiedmannii strain FSL W8-0169 16S ribosomal RNA, partial sequence"
20C	20C	AA	2006-06-20	Grew the wrong thing on plates	"correct, growing"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"Transparent, granular growth, typical structure"		"Buttiauxella noackiae strain NSW 11 16S ribosomal RNA, partial sequence"
20D	20D	AA	2006-06-20	Grew the wrong thing on plates	reisolated and grew	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white/yellow, grainy"	"Green-orange tint, smooth growth, typical structure"		"Chryseobacterium aquaticum strain 10-46 16S ribosomal RNA, partial sequence"
21A	21A	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"transparent white, bulbous groth"	"White, bulbous growth, wide margins, typical structure"		"Paenibacillus humicus strain PC-147 16S ribosomal RNA, partial sequence"
21C	21C	AA	2006-06-20		"correct, growing"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"cream, smooth"	"Transparent, granular growth, regular margins, thick structure"		"Serratia marcescens strain NBRC 102204 16S ribosomal RNA, partial sequence"
22C	22C	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	 no growth	"Pink, thin margins, granular growth, adhesive and firm"		"Methylobacterium pseudosasicola strain BL36 16S ribosomal RNA, partial sequence"
23A	23A	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"transparent, white, smooth"	"Transparent white-yellow, very gelatinous and adhesive, regular margins"		"Agreia pratensis strain P 229/10 16S ribosomal RNA, partial sequence"
23C	23C	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Transparent white, irregular margins, smooth growth, typical structure"		"Bacillus solisilvae strain NEAU-cbsb5 16S ribosomal RNA, partial sequence"
23K	23K	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"transparent, smooth, regular edge"	"Slow growth, typical structure"		"Paenibacillus silagei strain LOOC204 16S ribosomal RNA, partial sequence"
23L	23L	AA	2006-06-20	Did not grow in liquid culture last time	grew on plate only	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Firm structure (going to have to recheck other morphology, forgot to snap a picture of last 2)"		"Bacillus circulans strain NBRC 13626 16S ribosomal RNA, partial sequence"
24A	24A	AA	2006-06-20	Did not grow in liquid culture last time; did not grow in liquid or plate this time either	pure yellow	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"transparent white, smooth"	"Fungal, yellow, spotted growth"		"Variovorax ginsengisoli strain Gsoil 3165 16S ribosomal RNA, partial sequence"
24C	24C	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white yellow, smooth"	Gelatinous		"Rahnella aquatilis CIP 78.65 = ATCC 33071 strain DSM 4594 16S ribosomal RNA, partial sequence"
24D	24D	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent white	Firm and adhesive		"Viridibacillus arvi strain LMG 22165 16S ribosomal RNA, partial sequence"
24G	24G	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Orange, regular margins, smooth growth, typical structure"		"Rhodococcus fascians strain ATCC 12974 16S ribosomal RNA, partial sequence"
24I	24I	AA	2006-06-20	Did not grow in liquid culture last time		NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Yellow, smooth growth, regular margins, typical structure"		"Sphingomonas aerolata strain NW12 16S ribosomal RNA, partial sequence"
24J	24J	AA	2006-06-20	grew on plate but not liquid culture	grew	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Faint orange, smooth growth, regular margins, gelatinous"		"Mucilaginibacter polytrichastri strain RG4-7 16S ribosomal RNA, partial sequence"
24L	24L	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"Pink, thin growth, typical structure"		"Mucilaginibacter polytrichastri strain RG4-7 16S ribosomal RNA, partial sequence"
25A	25A	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white yellow, smooth"	"White, wide margin growth, typical structure"		"Pseudomonas asturiensis strain LPPA 221 16S ribosomal RNA, partial sequence"
25B	25B	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"cream yellow, milky, smooth"	"Transparent white, regular margins, smooth growth, typical structure"		"Pseudomonas weihenstephanensis strain DSM 29166 16S ribosomal RNA, partial sequence"
25C	25C	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"Transparent white, smooth growth, regular margins, typical structure"		"Yersinia kristensenii strain ATCC 33638 16S ribosomal RNA, partial sequence"
25D	25D	AA	7-19-20		grew	N (less dense)	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"cream/white, smooth, irregular edge"	"White, irregular margins, bulbous in some spots, gelatinous"		"Bacillus aryabhattai B8W22 16S ribosomal RNA, partial sequence"
25E	25E	AA	7-19-20		NA	N (less dense)	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"no growth, some white growth on one plate"	"Orange, smooth growth, wide margins, gelatinous"		"Microbacterium lacus strain A5E-52 16S ribosomal RNA, partial sequence"
26A	26A	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white/cream, smooth, heavier growth on edges"	"White, wide margins with bulbous growth, irregular margins, typical structure"		"Bacillus simplex strain LMG 11160 16S ribosomal RNA, partial sequence"
27A	27A	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 0 (trial colony edge is blebby and irregular compared to control plate)"	"0, 0"	0	"white, clearish"	"Pink, thin margins, smooth growth, Firm and adhesive"		"Methylorubrum pseudosasae strain BL44 16S ribosomal RNA, partial sequence"
27B	27B	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"whiteish yellow, smooth"	"Transparent fain yellow, smooth growth, thin margins, typical structure"		"Pseudomonas graminis strain DSM 11363 16S ribosomal RNA, partial sequence"
28B	28B	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 1 (very fuzzy inhibition)"	"0, 1"	0.5	"whiteish yellow, smooth"	"Faint pink, wide margins, bulbous growth, gelatinous"		"Pseudomonas migulae strain NBRC 103157 16S ribosomal RNA, partial sequence"
29G	29G	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"4, 4"	"5, 5"	5	"white/clear, smooth"	"Bright pinkish color, granular growth, regular margins, firm structure"		"Paenibacillus amylolyticus strain JCM 9906 16S ribosomal RNA, partial sequence"
2A	2A	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 0"	small ring <1 mm?	0.5	"white, smooth"	"Uniform transparent color, thin margins, pretty adhesive"		"Pseudomonas veronii strain CIP 104663 16S ribosomal RNA, partial sequence"
2E	2E	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"1, 2 (fuzzy inhibition, yellow/green agar)"	"1, 2"	1.5	"whiteish yellow, smooth growth"	"Transparent color, uneven margins, different patterns of growth, slightly adhesive"		"Pseudomonas lurida strain P 513/18 16S ribosomal RNA, partial sequence"
2F	2F	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"5, 4 (yellow/green agar, strong inhibition)"	"10, 10"	10	"white, rings of growth visible, smooth"	"Transparent color, thin, uniform patterns of growth, stubborn structure"		"Pseudomonas orientalis strain CFML 96-170 16S ribosomal RNA, partial sequence"
2H	2H	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"2, 2 (yellow agar)"	"2, 2"	2	"white/cream, smooth"	"Adhesive white growth, uniform margins"		"Acinetobacter radioresistens strain NBRC 102413 16S ribosomal RNA, partial sequence"
30F	30F	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"3, 3 (strong inhibition, agar is clear)"	"3, 3"	3	"clear/transparent, smooth"	"Transparent green, irregular margins, smooth growth, typical structure"		"Variovorax boronicumulans NBRC 103145 16S ribosomal RNA, partial sequence"
31B	31B	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"4, 3 (clear zone)"	"5, 5"	4	"clear/white, grainy color/texture, smooth groth"	"White, smooth growth, regular margins, gelatinous"		"Serratia rubidaea strain JCM1240 16S ribosomal RNA, partial sequence"
32D	32D	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"0, 0 (yellow/green agar)"	"0, 0"	0	"white/yellow, smooth"	"Transparent white, somewhat bulbous growth, irregular margins, firm structure"		"Pseudomonas paralactis strain DSM 29164 16S ribosomal RNA, partial sequence"
32E	32E	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"2, 3 (yellow/green agar)"	"2, 3"	2.5	"white, smooth, edge striated"	"Transparent white, bulbous growth, growth in streaks, gelatinous"		"Pseudomonas mucidolens strain NBRC 103159 16S ribosomal RNA, partial sequence"
32G	32G	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"White, smooth growth, regular margins, typical structure"		"Stenotrophomonas pavanii strain LMG 25348 16S ribosomal RNA, partial sequence"
33B	33B	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"0, 1"	"1, 1"	1	"white, goopy looking, smooth, shiny"	"White, smooth growth, regular margins, typical structure,"		"Stenotrophomonas maltophilia strain ATCC 13637 16S ribosomal RNA, partial sequence"
33D	33D	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"0, 0"	"1, 1"	1	"white, goopy and smooth"	"Pink tint, extremely thin margins, smooth growth, adhesive structure"		"Methylorubrum extorquens strain IAM 12631 16S ribosomal RNA, partial sequence"
34B	34B	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"3, 3 (yellow/green agar, not strong inhibition)"	"3, 3"	3	"white, smooth, edge grainy"	"Transparent white, wide irregular margins, took over entire plate almost, typical structure"		"Pseudomonas brenneri strain CFML 97-391 16S ribosomal RNA, partial sequence"
34F	34F	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"4, 4 (yellow/green agar, not strong inhibition)"	"4, 4"	4	"white, smooth, edge grainy"	"J. liv, adhesive"		"Collimonas arenae strain NCCB 100031 16S ribosomal RNA, partial sequence"
35A	35A	AA	7-19-20		grew	Y	7-22-20	no Bd lawn yet	"3, 4 (fuzzy, not a strong inhibition)"	"3, 3"	3	"white, smooth"	"Interesting circular growth, bulbous and irregular growth, gelatinous"		"Phyllobacterium myrsinacearum strain NBRC 100019 16S ribosomal RNA, partial sequence"
35B	35B	AA	7-19-20	Did not grow in liquid culture last time	grew	N (less dense)	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, clear, smooth"	"Transparent yellow, smooth growth, regular margins, typical structure"		"Frondihabitans peucedani strain RS-15 16S ribosomal RNA, partial sequence"
35C	35C	AA	7-19-20		grew	N	7-22-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth, grainy texture throughout"	"White, smooth growth, irregular margins, typical structure"		"Bacillus mycoides strain NBRC 101228 16S ribosomal RNA, partial sequence"
35E	35E	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"0, 0"	"7, 9 (really light inhibition zone with no clear edge)"	8	"white/light yellow, clear, smooth"	"Transparent, smooth growth, regular margins, typical structure"		"Pseudomonas chlororaphis strain NBRC 3904 16S ribosomal RNA, partial sequence"
35F	35F	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	0	0	0	"white, transparent, smooth"	"Faint yellow tint, smooth growth, regular margins, gelatinous"		"Yonghaparkia alkaliphila strain KSL-113 16S ribosomal RNA, partial sequence"
36A	36A	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, clear, smooth"	"Transparent yellow, wide irregular margins, bulbous growth, very gelatinous"		"Rhodococcus fascians strain CF17 16S ribosomal RNA, partial sequence"
36B	36B	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	0	"0, 0"	0	"transparent, smooth, regular edge"	"Transparent, smooth growth, regular margins, typical structure"		"Plantibacter flavus strain P 297/02 16S ribosomal RNA, partial sequence"
36E	36E	AA	7-20-20		grew	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Pink, thin uniform margins, smooth growth, firm structure"		"Methylobacterium mesophilicum strain DSM 1708 16S ribosomal RNA, partial sequence"
36F	36F	AA	7-20-20		grew	N	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, sparse growth, thicker on edge"	"Bright orange, spotted growth, irregular margins, typical structure"		"Methylobacterium mesophilicum strain DSM 1708 16S ribosomal RNA, partial sequence"
36G	36G	AA	7-20-20		grew	Y	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, milky, smooth"	"Transparent, smooth growth, regular margins, gelatinous"		"Arthrobacter citreus strain DSM 20133 16S ribosomal RNA, partial sequence"
36H	36H	AA	7-20-20		not sure	N (less dense)	7-23-20	no Bd lawn yet	"0, 0"	"0, 0"	0	no growth	"Pink, very thin margins, smooth growth, firm structure"		"Kaistia defluvii strain B6-12 16S ribosomal RNA, partial sequence"
