ASVID	ScientificName_unique	extraction_batch	PCR_batch
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M7	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M7	NTC2
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M7	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M6	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M6	NTC2
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	M6	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M5	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M5	NTC2
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M5	NTC2
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M5	NTC1
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M6	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M2	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M2	NTC2
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	M2	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M4	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M4	NTC2
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M4	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M1	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M1	NTC2
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M1	NTC1
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M3	NTC1
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M4	NTC1
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	M4	NTC2
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M2	NTC1
5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	M6	NTC1
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M3	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M3	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M3	NTC2
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M2	NTC2
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	M7	NTC2
38c27ceaed634984c1225a82648cf571	g__Pseudomonas_unknown.25	M2	NA
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	M8	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M8	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	M8	NTC2
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	M8	NTC2
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	A1	NTC1
dcba105f35d8ebc9e22269c7491ad3a7	g__Stenotrophomonas_unknown.46	A1	NTC2
63afe8e6aac58bf0d670a82ca5bc574c	f__Yersiniaceae_unknown.13	A1	NTC2
fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	A1	NTC2
c41e38ec0abb37da79acd32fd3cd7c66	g__Turicella_isolate	NA	NTC1
2ac86afef567aefeca0b6ea9ded595f2	g__Pseudomonas_unknown.19	NA	NTC1
0920dcf0f62fb2b3ab9e32f1c4edec37	f__Comamonadaceae_unknown.1	NA	NTC1
95a639a8a9a776a314396fc22863c436	g__Thermus_unknown.2	NA	NTC1
6c5f4f9666d82b1bedf94e99acfe6741	o__Bacillales_unknown	NA	NTC1
882b5b49ef18215727a0900958cdec5d	g__Meiothermus_unknown.1	NA	NTC1
7ff346973a282aa55de296afdb5d74af	f__Micrococcaceae_unknown.3	NA	NTC1
a1b2b1e570d1630b06193d403b489e03	g__Flavobacterium_unknown.51	NA	NTC1
25bee06e9f26ee749b6bd48ef93b6a8e	g__Streptomyces_unknown	NA	NTC2
6376ea6dab7d0fde3cd66f53b57e1484	g__Pseudomonas_unknown.48	NA	NTC2
