IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	2	NA	Rep5	2020-09-14	L1	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	2	NA	Rep5	2020-09-14	L2	3
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	2	NA	Rep5	2020-09-14	L3	10
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	3	NA	Rep6	2020-09-14	L1	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	3	NA	Rep6	2020-09-14	L2	3
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	3	NA	Rep6	2020-09-14	L3	10
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	7	NA	Rep6	2020-09-14	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	7	NA	Rep6	2020-09-14	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	7	NA	Rep6	2020-09-14	L3	10
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	4	NA	Rep6	2020-09-14	L1	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	4	NA	Rep6	2020-09-14	L2	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	4	NA	Rep6	2020-09-14	L3	10
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	6	NA	Rep5	2020-09-14	L1	NA
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	6	NA	Rep5	2020-09-14	L2	NA
20D	Chryseobacterium_aquaticum	0.192666667	0	8.82	TRUE	Non	6	NA	Rep5	2020-09-14	L3	10
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep5	2020-09-14	L1	NA
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep5	2020-09-14	L2	NA
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	10	NA	Rep5	2020-09-14	L3	10
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	2	NA	Rep6	2020-09-14	L1	NA
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	2	NA	Rep6	2020-09-14	L2	3
21C	Serratia_marcescens	0.250666667	0	7.12	TRUE	Non	2	NA	Rep6	2020-09-14	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	7	NA	Rep5	2020-09-14	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	7	NA	Rep5	2020-09-14	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	7	NA	Rep5	2020-09-14	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep6	2020-09-14	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep6	2020-09-14	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep6	2020-09-14	L3	10
24L	Mucilaginibacter_polytrichastri	0.167	0	10.03	TRUE	Non	5	NA	Rep5	2020-09-14	L1	NA
24L	Mucilaginibacter_polytrichastri	0.167	0	10.03	TRUE	Non	5	NA	Rep5	2020-09-14	L2	NA
24L	Mucilaginibacter_polytrichastri	0.167	0	10.03	TRUE	Non	5	NA	Rep5	2020-09-14	L3	10
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	10	NA	Rep5	2020-09-14	L1	NA
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	10	NA	Rep5	2020-09-14	L2	NA
2E	Pseudomonas_lurida	0.549666667	1.5	7.5	TRUE	Inhib	10	NA	Rep5	2020-09-14	L3	10
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	8	NA	Rep5	2020-09-14	L1	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	8	NA	Rep5	2020-09-14	L2	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	8	NA	Rep5	2020-09-14	L3	10
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep6	2020-09-14	L1	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep6	2020-09-14	L2	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep6	2020-09-14	L3	10
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	4	NA	Rep6	2020-09-14	L1	NA
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	4	NA	Rep6	2020-09-14	L2	NA
2H	Acinetobacter_radioresistens	0.182333333	2	10.64	TRUE	Inhib	4	NA	Rep6	2020-09-14	L3	10
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	1	NA	Rep6	2020-09-14	L1	1
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	1	NA	Rep6	2020-09-14	L2	3
32G	Stenotrophomonas_pavanii	0.694333333	0	15.27	TRUE	Non	1	NA	Rep6	2020-09-14	L3	10
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	6	NA	Rep5	2020-09-14	L1	NA
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	6	NA	Rep5	2020-09-14	L2	NA
33B	Stenotrophomonas_maltophilia	1.057333333	1	7.51	TRUE	Inhib	6	NA	Rep5	2020-09-14	L3	10
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	6	NA	Rep6	2020-09-14	L1	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	6	NA	Rep6	2020-09-14	L2	NA
34B	Pseudomonas_brenneri	1.123666667	3	8.37	TRUE	Inhib	6	NA	Rep6	2020-09-14	L3	10
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	5	NA	Rep6	2020-09-14	L1	NA
34F	Collimonas_arenae	0.275	4	7.34	TRUE	Inhib	5	NA	Rep6	2020-09-14	L2	NA
