SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	45D	13C	BTB_45	35A	50A	33B	37E	2F	50B	2E	35E	2H	34F	34B	20A	37H	49C	BTB_59	45E	36A	24L	20D	24D	54G	47C	21C	32G	40B	20C	36G	40A	CV_raw	CV	Bd_n	cClean
Con_2020-09-14_0_Rep5	3	0	Rep5	CV	2020-09-14	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-14_0_Rep5	12	0	Rep5	Bd	2020-09-14	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-14_0_Rep6	9	0	Rep6	CV	2020-09-14	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-14_0_Rep6	22	0	Rep6	Bd	2020-09-14	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_1_Rep5	5	1	Rep5	CV	2020-09-14	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_1_Rep5	18	1	Rep5	Bd	2020-09-14	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_1_Rep6	23	1	Rep6	Bd	2020-09-14	Inhib	NA	TRUE	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_1_Rep6	24	1	Rep6	CV	2020-09-14	Inhib	NA	TRUE	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_10_Rep5	11	10	Rep5	CV	2020-09-14	Inhib	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-14_10_Rep5	17	10	Rep5	Bd	2020-09-14	Inhib	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
