SampleID	JarID	RichLevel	Rep	DateStart	Inhibitory	BTB_47	33B	50A	32E	2E	2H	13C	50B	35A	BTB_45	34F	33D	35E	2F	37E	24L	40A	24D	24C	49C	35B	20D	BTB_28	25C	20C	47C	36E	32G	54G	40B	Type	CV_raw	CV	Bd_n
Con_2020-08-31_0_Rep2	7	0	Rep2	2020-08-31	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Con_2020-08-31_0_Rep2	15	0	Rep2	2020-08-31	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Con_2020-08-31_0_Rep3	10	0	Rep3	2020-08-31	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Con_2020-08-31_0_Rep3	19	0	Rep3	2020-08-31	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_1_Rep2	9	1	Rep2	2020-08-31	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Inhib_2020-08-31_1_Rep2	23	1	Rep2	2020-08-31	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_1_Rep3	6	1	Rep3	2020-08-31	Inhib	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_1_Rep3	14	1	Rep3	2020-08-31	Inhib	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Inhib_2020-08-31_10_Rep2	22	10	Rep2	2020-08-31	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_10_Rep2	27	10	Rep2	2020-08-31	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Inhib_2020-08-31_10_Rep3	18	10	Rep3	2020-08-31	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_10_Rep3	20	10	Rep3	2020-08-31	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Inhib_2020-08-31_3_Rep2	4	3	Rep2	2020-08-31	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_3_Rep2	8	3	Rep2	2020-08-31	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Inhib_2020-08-31_3_Rep3	25	3	Rep3	2020-08-31	Inhib	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Inhib_2020-08-31_3_Rep3	28	3	Rep3	2020-08-31	Inhib	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Non_2020-08-31_1_Rep2	1	1	Rep2	2020-08-31	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Non_2020-08-31_1_Rep2	21	1	Rep2	2020-08-31	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Non_2020-08-31_1_Rep3	2	1	Rep3	2020-08-31	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bd	NA	NA	NA
Non_2020-08-31_1_Rep3	12	1	Rep3	2020-08-31	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CV	NA	NA	NA
Non_2020-08-31_10_Rep2	5	10	Rep2	2020-08-31	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	CV	NA	NA	NA
