SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	cClean	37E	50A	37H	34F	35A	20A	33B	34B	13C	32E	50B	35E	2H	25A	32G	20D	24D	54G	47C	36G	35B	40A	BTB_59	36E	20C	BTB_28	36A	21C	CV_raw	CV	Bd_n
Con_2020-10-05_0_Rep11	2	0	Rep11	Bd	2020-10-05	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-10-05_0_Rep11	15	0	Rep11	CV	2020-10-05	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-10-05_0_Rep12	12	0	Rep12	Bd	2020-10-05	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-10-05_0_Rep12	22	0	Rep12	CV	2020-10-05	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_1_Rep11	6	1	Rep11	CV	2020-10-05	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_1_Rep11	8	1	Rep11	Bd	2020-10-05	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_1_Rep12	1	1	Rep12	CV	2020-10-05	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_1_Rep12	5	1	Rep12	Bd	2020-10-05	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_10_Rep11	13	10	Rep11	CV	2020-10-05	Inhib	FALSE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_10_Rep11	26	10	Rep11	Bd	2020-10-05	Inhib	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_10_Rep12	3	10	Rep12	Bd	2020-10-05	Inhib	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_10_Rep12	17	10	Rep12	CV	2020-10-05	Inhib	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_3_Rep11	4	3	Rep11	CV	2020-10-05	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_3_Rep11	11	3	Rep11	Bd	2020-10-05	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_3_Rep12	7	3	Rep12	CV	2020-10-05	Inhib	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-10-05_3_Rep12	19	3	Rep12	Bd	2020-10-05	Inhib	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_1_Rep11	16	1	Rep11	CV	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_1_Rep11	21	1	Rep11	Bd	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_1_Rep12	14	1	Rep12	Bd	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-10-05_1_Rep12	18	1	Rep12	CV	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-10-05_10_Rep11	10	10	Rep11	CV	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_10_Rep11	24	10	Rep11	Bd	2020-10-05	Non	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_10_Rep12	23	10	Rep12	Bd	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	NA
Non_2020-10-05_10_Rep12	27	10	Rep12	CV	2020-10-05	Non	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	NA
Non_2020-10-05_3_Rep11	25	3	Rep11	Bd	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_3_Rep11	28	3	Rep11	CV	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-10-05_3_Rep12	9	3	Rep12	CV	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-10-05_3_Rep12	20	3	Rep12	Bd	2020-10-05	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA
Non_2020-10-05_0_Rep13	29	0	Rep13	Bd	2020-10-05	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
