ASVID	Taxon	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence	ScientificName	ScientificName_unique
00868c6150dd837aad03c2ea785b80d8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA	0.999862059108615	g__Pseudomonas_unknown	g__Pseudomonas_unknown
00eca79215fa101499860d17226f7a81	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	NA	0.999901646312206	g__Flavobacterium_unknown	g__Flavobacterium_unknown
00f76e053e09bdad2888be2edec03257	d__Bacteria; p__Firmicutes; c__Symbiobacteriia; o__Symbiobacteriales; f__Symbiobacteraceae; g__uncultured; s__uncultured_bacterium	d__Bacteria	p__Firmicutes	c__Symbiobacteriia	o__Symbiobacteriales	f__Symbiobacteraceae	NA	NA	0.998628619046759	f__Symbiobacteraceae_isolate	f__Symbiobacteraceae_isolate
011738fea90a4fe9b8dcd115f4f748f9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter_radioresistens	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter_radioresistens	0.703645181782259	s__Acinetobacter_radioresistens	s__Acinetobacter_radioresistens
0195c8a33c6c3b8e9c171fa6fb61863e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Annulohypoxylon_stygium	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Mitochondria	g__Mitochondria	s__Annulohypoxylon_stygium	0.999813045433368	s__Annulohypoxylon_stygium	s__Annulohypoxylon_stygium
0197b93af3ce360d67eed0a6659c73fa	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	NA	0.999843077271437	g__Flavobacterium_unknown	g__Flavobacterium_unknown.1
01be557ac24e4ce42a089f867190420d	d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Caenarcaniphilales; f__Caenarcaniphilales; g__Caenarcaniphilales; s__uncultured_bacterium	d__Bacteria	p__Cyanobacteria	c__Vampirivibrionia	o__Caenarcaniphilales	f__Caenarcaniphilales	g__Caenarcaniphilales	NA	0.999996896524804	g__Caenarcaniphilales_isolate	g__Caenarcaniphilales_isolate
024311f59e788e31673bc1a433a02d55	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Paracaedibacterales; f__Paracaedibacteraceae; g__uncultured; s__uncultured_bacterium	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Paracaedibacterales	f__Paracaedibacteraceae	NA	NA	0.868569044652865	f__Paracaedibacteraceae_isolate	f__Paracaedibacteraceae_isolate
0244a348b17bc4324c321a5727835a33	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__metagenome	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	NA	NA	0.987827977202418	f__Chitinophagaceae_isolate	f__Chitinophagaceae_isolate
025f8d52bf0fe507d3355b96f306b99b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Runella	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Runella	NA	0.999999999999951	g__Runella_unknown	g__Runella_unknown
026e0d1058ad4c32d5110297a798c666	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	NA	NA	NA	0.999740029211491	o__Enterobacterales_unknown	o__Enterobacterales_unknown
030937f16801bbcea18286ae4da815f8	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_lautus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus_lautus	0.868222818022336	s__Paenibacillus_lautus	s__Paenibacillus_lautus
0326c76f56fc2986ae8215fe3a8c3e70	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Yersiniaceae	NA	NA	0.841580952360147	f__Yersiniaceae_unknown	f__Yersiniaceae_unknown
032b7df1b63c13c81555718bafda9aec	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	NA	NA	0.999978823912909	f__Comamonadaceae_unknown	f__Comamonadaceae_unknown
032dce24fc4e90cfd0a95227ed5ae03f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Acidibacter; s__uncultured_bacterium	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__Unknown_Family	g__Acidibacter	NA	0.767789738386182	g__Acidibacter_isolate	g__Acidibacter_isolate
033e8170181e7abf197d2d5e078c7677	d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus; s__Tumebacillus_avium	d__Bacteria	p__Firmicutes	c__Bacilli	o__Alicyclobacillales	f__Alicyclobacillaceae	g__Tumebacillus	s__Tumebacillus_avium	0.880862824673016	s__Tumebacillus_avium	s__Tumebacillus_avium
033fc14444cc93f82f6464968d72c6b2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA	0.998031217852675	g__Pseudomonas_unknown	g__Pseudomonas_unknown.1
0373b989f839d669a8aeae089ddd81a5	d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Vampirovibrionales; f__Vampirovibrionales; g__Vampirovibrionales; s__uncultured_bacterium	d__Bacteria	p__Cyanobacteria	c__Vampirivibrionia	o__Vampirovibrionales	f__Vampirovibrionales	g__Vampirovibrionales	NA	0.998871732463551	g__Vampirovibrionales_isolate	g__Vampirovibrionales_isolate
03aed894f32f78cd3f85b4f00e9cc35f	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__uncultured	d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Simkaniaceae	NA	NA	0.725447592954995	f__Simkaniaceae_isolate_unknown	f__Simkaniaceae_isolate_unknown
03b7a8de22a85fe1b508f6728ab48812	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	NA	0.983677618209631	g__Flavobacterium_unknown	g__Flavobacterium_unknown.2
03db34e20df24416bb4700b92d048023	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	NA	0.999721808791098	g__Pseudomonas_unknown	g__Pseudomonas_unknown.2
03de62b28492de373de4e52fcba457da	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	NA	0.991053977295533	g__Chryseobacterium_unknown	g__Chryseobacterium_unknown
03ffd710af7cee3c57aa900bc2735446	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Williamsia	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Williamsia	NA	0.999804250701161	g__Williamsia_unknown	g__Williamsia_unknown
040206ed54b89fadc2987563f9fd74e1	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Candidatus_Udaeobacter	NA	0.999696643345587	g__Candidatus_Udaeobacter_unknown	g__Candidatus_Udaeobacter_unknown
041fafd23c57163c58b13a275efcb849	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__metagenome	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	NA	0.704860845796647	g__Gemmata_isolate	g__Gemmata_isolate
046a2d9e3c5f65385db7f2b386d9a767	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Unknown_Family; s__uncultured_bacterium	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__Unknown_Family	g__Unknown_Family	NA	0.997759185738178	g__Unknown_Family_isolate	g__Unknown_Family_isolate
0471a07d3bb1fa69cc223cbc93dd222c	d__Bacteria	d__Bacteria	NA	NA	NA	NA	NA	NA	0.998245927488018	d__Bacteria_unknown	d__Bacteria_unknown
04e6bb898febfa4c29572e69e7608be9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Hafniaceae; g__Hafnia-Obesumbacterium	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Hafnia-Obesumbacterium	NA	0.902777166458816	g__Hafnia-Obesumbacterium_unknown	g__Hafnia-Obesumbacterium_unknown
0562e97bf8665edd5ae85899297a44a8	d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus	d__Bacteria	p__Deinococcota	c__Deinococci	o__Thermales	f__Thermaceae	g__Thermus	NA	0.999999999999967	g__Thermus_unknown	g__Thermus_unknown
064c47bd736bdf06e84b92f6c56df949	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Tepidisphaerales	f__WD2101_soil_group	g__WD2101_soil_group	NA	0.9999999994605	g__WD2101_soil_group_unknown	g__WD2101_soil_group_unknown
065a7b6897f5dcaa2e5cc059c1eb0f0c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__A0839; g__A0839	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__A0839	g__A0839	NA	0.99999999988011	g__A0839_unknown	g__A0839_unknown
06b0cdc9b5af174c7c86120dd1d52d9e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	NA	0.997828888308563	g__Hyphomicrobium_unknown	g__Hyphomicrobium_unknown
06b2c0578203ebd7d7925734b914a7e1	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rhodopirellula	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Rhodopirellula	NA	0.999377871437368	g__Rhodopirellula_unknown	g__Rhodopirellula_unknown
06c22e76fcb55c5204fd4a642189b4ab	d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Meiothermus	d__Bacteria	p__Deinococcota	c__Deinococci	o__Thermales	f__Thermaceae	g__Meiothermus	NA	0.999999999994565	g__Meiothermus_unknown	g__Meiothermus_unknown
06f825b512d903b9230e1a55d87359ee	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	NA	0.999840666312893	g__Streptococcus_unknown	g__Streptococcus_unknown
07c696568bb976ecf272d519280d0b0b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	NA	0.990683330996022	g__Stenotrophomonas_unknown	g__Stenotrophomonas_unknown
07c9fb4a8568a69387c46c6fa8936f0f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__uncultured	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	NA	NA	0.999896339004851	f__Diplorickettsiaceae_isolate_unknown	f__Diplorickettsiaceae_isolate_unknown
07e72228419500bb03476c5b0e57bbd2	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__Bdellovibrio_exovorus	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio_exovorus	0.88720529690927	s__Bdellovibrio_exovorus	s__Bdellovibrio_exovorus
082e7ecc026d2e28080af9ded2124b79	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Kaiserbacteria; f__Candidatus_Kaiserbacteria; g__Candidatus_Kaiserbacteria; s__uncultured_bacterium	d__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus_Kaiserbacteria	f__Candidatus_Kaiserbacteria	g__Candidatus_Kaiserbacteria	NA	0.999725273526524	g__Candidatus_Kaiserbacteria_isolate	g__Candidatus_Kaiserbacteria_isolate
08bdc6c81f6b9daab3d132b54e1d45bc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Rhodococcus	NA	0.999999773683684	g__Rhodococcus_unknown	g__Rhodococcus_unknown
08df7256913449556cabc909d5778985	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	NA	0.951127319725376	g__Stenotrophomonas_unknown	g__Stenotrophomonas_unknown.1
09016ce3f7f2ed2a5e2ac9f68c0dc2a7	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Prosthecobacter; s__uncultured_bacterium	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Prosthecobacter	NA	0.856671654001778	g__Prosthecobacter_isolate	g__Prosthecobacter_isolate
09048df7c3599c6456945d8437b7709f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	NA	0.99996751358166	g__Geobacillus_unknown	g__Geobacillus_unknown
0920dcf0f62fb2b3ab9e32f1c4edec37	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	NA	NA	0.999955102031772	f__Comamonadaceae_unknown	f__Comamonadaceae_unknown.1
09c68b630c52526f7f20580c7683d961	d__Bacteria; p__WS1; c__WS1; o__WS1; f__WS1; g__WS1; s__uncultured_bacterium	d__Bacteria	p__WS1	c__WS1	o__WS1	f__WS1	g__WS1	NA	0.999945260702688	g__WS1_isolate	g__WS1_isolate
