sampleID_qPCR	inhibRich	inhibReads	inhibProp	inhibRichFrac
R1_J1_Pre	0	0	0	0
R1_J15_Pre	0	0	0	0
R1_J16_Bd	0	0	0	0
R1_J21_Bd	0	0	0	0
R1_J22_Bd	1	0.896948433420366	1	1
R1_J23_Bd	1	0.235422447207337	0.277292685360742	0.333333333333333
R1_J24_Pre	0	0	0	0
R1_J26_Bd	0	0	0	0
R1_J4_Bd	3	0.488570541994207	0.503665395996055	0.75
R1_J5_Pre	0	0	0	0
R1_J7_Bd	0	0	0	0
R1_J8_Pre	2	202987	0.433474488499378	0.666666666666667
R1_J9_Pre	2	28604	0.808593639575972	0.666666666666667
R10_J10_Pre	0	0	0	0
R10_J16_Bd	0	0	0	0
R10_J18_Pre	0	0	0	0
R10_J21_Pre	0	0	0	0
R10_J22_Pre	0	0	0	0
R10_J23_Bd	0	0	0	0
R10_J24_Pre	0	0	0	0
R10_J25_Bd	1	0.976864952268416	0.983347419162989	0.5
R10_J27_Bd	0	0	0	0
R10_J3_Bd	2	0.373380035026269	0.376709163563215	0.5
R10_J4_Pre	1	40204	0.628727812964266	0.5
R10_J5_Pre	3	23396	0.140660979143745	0.6
R10_J6_Bd	0	0	0	0
R11_J10_Pre	1	624974	0.468087464845169	0.25
R11_J11_Bd	1	0.398167878561543	0.399545895423684	0.5
R11_J13_Pre	1	104914	0.305130688444681	0.5
R11_J15_Pre	0	0	0	0
R11_J16_Pre	0	0	0	0
R11_J2_Bd	0	0	0	0
R11_J21_Bd	1	0.202984375522768	0.211165639901153	0.5
R11_J24_Bd	1	0.325259515570934	0.325911087140766	0.25
R11_J25_Bd	1	0.675844260370905	0.682620329912272	0.333333333333333
R11_J26_Bd	1	0.323131253678634	0.375688816855753	0.5
R11_J28_Pre	1	252078	0.731458052834393	0.333333333333333
R11_J4_Pre	1	65664	0.395475734470422	0.5
R11_J6_Pre	0	0	0	0
R11_J8_Bd	0	0	0	0
R12_J1_Pre	1	56	1	1
R12_J12_Bd	0	0	0	0
R12_J17_Pre	3	68693	0.661648414097341	0.75
R12_J19_Bd	2	0.970667384284177	1	1
R12_J20_Bd	1	0.131991233054631	0.135911509849266	0.5
R12_J22_Pre	0	0	0	0
R12_J23_Bd	0	0	0	0
R12_J27_Pre	0	0	0	0
R12_J3_Bd	4	0.759457008279454	0.76754087696993	0.8
R12_J5_Bd	1	0.899054524774294	1	1
R12_J7_Pre	1	672	1	1
R12_J9_Pre	0	0	0	0
R13_J29_Bd	0	0	0	0
R2_J10_Pre	0	0	0	0
R2_J11_Bd	1	0.0486852382192137	0.0488378166623138	0.2
R2_J12_Pre	0	0	0	0
R2_J13_Pre	0	0	0	0
R2_J14_Pre	1	10170	1	1
R2_J17_Pre	0	0	0	0
R2_J18_Bd	3	0.982421875	1	1
R2_J19_Bd	0	0	0	0
