sampleID_qPCR	ASV_1a536b0e1f97503816f150ed89839a0f	ASV_255429c75a0f47d5a30c6ac429fa7c34	ASV_f13bd5edd93cef613314f42915c99a6f	ASV_14c6f745ca3896169903ea6ea03d48ac	ASV_033fc14444cc93f82f6464968d72c6b2	ASV_dcba105f35d8ebc9e22269c7491ad3a7	ASV_fa0bfc5b671a0016df8fd1840f314bab	ASV_d32e579b3ae7b2aae8d5bf9f027c29af	ASV_5648dccee530d68ceb3e4d7d22cf8756	ASV_945184b6386c192c0066e0a98a154780	ASV_4850a238b7fbbd5ffa204c5a5a396f2c	ASV_205d983fc6a77838d0c5f28ea5485c28	ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	ASV_8b9ede8e4455abbacd8d8d787eb6383d	ASV_3bb0bf5132b0f988573de9bd6059b22c	ASV_63afe8e6aac58bf0d670a82ca5bc574c	ASV_4ea59d33f520370432fb7cb625b56c12	ASV_38c27ceaed634984c1225a82648cf571	ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	ASV_bdf8a26094624622d68509a87fa75ba7	ASV_6a42f6b31b1958a4fd7c015ad7affbf4	ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	ASV_43fddf1528d4a98928fd8c3a8ac23bfd	ASV_213f59ff91f42554a6570145dbeff3da	ASV_5746145cd6809625dd78c312e6605cb4	ASV_ec2d6318d95da4328567972cc10eb066	ASV_bc56a7361c9a3b49f1f1c51874321e12	ASV_fb67b286b0f781b0de13d50179318995	ASV_b65fae1900c461356f7ec33239edf811	ASV_dd18c11c9ae50bd4f90b015e8c78de58	ASV_82dece6e35540738ba450a0c3a90b5a0	ASV_1bc599cac5647c5c30496e93ca551557	obsRich_rawASV	shannon_rawASV	pielou_rawASV
R1_J7_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R1_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R1_J23_Bd	0	0	0	0	0	0.281702073581429	0.235422447207337	0	0.331878931650181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R1_J9_Pre	0	0	0	0	0	6771	6124	22480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.908185269404885	0.826665857256988
R1_J4_Bd	0	0	0	0	0	0.481459453868432	0.297372776168804	0.098960488208523	0	0	0	0	0	0	0	0	0	0	0	0	0.0922372776168804	0	0	0	0	0	0	0	0	0	0	0	4	NA	NA
R1_J8_Pre	0	0	0	0	0	265292	193627	9360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.765286856735283	0.696594116622407
R1_J22_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896948433420366	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J21_Bd	0.986891735444598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J1_Pre	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R1_J16_Bd	0.978219598909254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J24_Pre	14503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R1_J26_Bd	0	0	0	0	0	0.333104395604396	0	0	0	0.167279411764706	0.0362798965740142	0.019715578539108	0.0264625080801551	0.0999515190691661	0.223800096961862	0.0808217517776341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	NA	NA
R1_J5_Pre	0	0	0	0	0	89779	0	0	0	13133	5361	2342	61271	7194	78740	13021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1.56914284854948	0.754598202016239
R10_J23_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R10_J24_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R10_J16_Bd	0	0	0	0	0	0	0	0	0.988025442477876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R10_J18_Pre	0	0	0	0	0	0	0	0	294189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R10_J25_Bd	0	0	0	0	0	0	0	0	0.0165428029478529	0	0	0	0	0	0	0	0	0.976864952268416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R10_J4_Pre	0	0	0	0	0	0	0	0	23741	0	0	0	0	0	0	0	0	38385	1819	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.775482859591388	0.705874918376833
R10_J3_Bd	0	0	0	0	0	0	0	0	0.57219453051327	0	0	0	0	0	0	0.0455880371817325	0	0.329058332210696	0.0208810453994342	0	0.023440657416139	0	0	0	0	0	0	0	0	0	0	0	5	NA	NA
R10_J5_Pre	0	0	0	0	0	0	0	0	140227	0	0	0	0	0	0	2706	0	14213	0	1710	7473	0	0	0	0	0	0	0	0	0	0	0	5	0.60757392990776	0.377506907979364
R10_J21_Pre	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.957555696374223	0.871604756519796
R10_J27_Bd	0	0	0	0	0	0.678524089052398	0	0	0.296940514512944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R10_J10_Pre	0	0	0	0	0	1038187	0	0	168274	0	0	0	0	0	0	0	3979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.424762800264845	0.386635762812922
R10_J6_Bd	0	0	0	0	0	0.420617477760335	0	0	0.325457875457875	0	0.0412087912087912	0	0	0	0	0.197043432757718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	NA	NA
R10_J22_Pre	0	0	0	0	0	490035	0	0	145372	0	11612	0	8055	0	0	160374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1.03944123027268	0.645841148790037
R11_J2_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R11_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R11_J8_Bd	0	0	0	0	0	0	0	0	0.998228158647949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R11_J6_Pre	0	0	0	0	0	0	0	0	144500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R11_J11_Bd	0	0	0	0	0	0	0.398167878561543	0	0.598383163814503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R11_J4_Pre	0	0	0	0	0	0	65664	0	100374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.671134537189557	0.968242468572683
R11_J26_Bd	0	0	0	0	0	0	0.323131253678634	0	0.53697221275673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R11_J13_Pre	0	0	0	0	0	0	104914	0	238919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.615149049178106	0.887472482656815
R11_J21_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202984375522768	0	0	0.758272274080765	0	0	0	0	0	0	0	0	0	2	NA	NA
R11_J16_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2674	0	0	0	0	0	0	0	0	0	1	0	NA
R11_J25_Bd	0	0	0	0	0	0.123142962540662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675844260370905	0.191086220195178	0	0	0	0	0	0	0	0	0	3	NA	NA
R11_J28_Pre	0	0	0	0	0	49957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252078	42589	0	0	0	0	0	0	0	0	0	3	0.767090349365763	0.698235726359602
R11_J24_Bd	0	0	0	0	0	0.441522491349481	0	0	0.130565167243368	0	0	0	0	0	0	0.100653594771242	0	0	0	0	0	0.325259515570934	0	0	0	0	0	0	0	0	0	0	4	NA	NA
R11_J10_Pre	0	0	0	0	0	417963	0	0	82550	0	0	0	0	0	0	209678	0	0	0	0	0	624974	0	0	0	0	0	0	0	0	0	0	4	1.1817124728095	0.852425362139449
R12_J12_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R12_J22_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R12_J5_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.899054524774294	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R12_J1_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R12_J19_Bd	0	0	0	0	0	0	0.645936490850377	0	0	0	0	0	0	0	0	0	0	0	0	0.3247308934338	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R12_J7_Pre	0	0	0	0	0	0	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R12_J3_Bd	0	0.0108539832070448	0.0173780755390422	0.0114683596149908	0.0483016880723209	0	0.5326350896697	0	0.230010824727188	0	0	0	0	0	0	0	0	0	0	0.0135455369942366	0.0173780755390422	0	0	0	0.0804833094409175	0	0	0	0.0274128902021591	0	0	0	10	NA	NA
R12_J17_Pre	0	0	1499	0	2686	0	51266	0	35128	0	0	0	0	0	0	0	0	0	0	2545	0	0	0	2302	4815	3580	0	0	0	0	0	0	8	1.30473762162395	0.627446165459379
R12_J20_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131991233054631	0	0	0.839164434342614	0	0	0	0	0	0	0	0	0	2	NA	NA
R12_J9_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	1	0	NA
R12_J23_Bd	0	0	0	0	0	0.598413877374991	0	0	0.158348707381939	0	0	0	0	0	0	0.233653592735463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R12_J27_Pre	0	0	0	0	0	281914	0	0	95268	0	0	0	0	0	0	81803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.933118282753182	0.849360864044619
