SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	2H	50B	50A	34B	13C	35A	BTB_47	32E	37H	2F	33D	2E	20A	37E	45E	32G	54G	25A	36G	47C	20C	35B	24D	40A	36A	BTB_28	24C	40B	36E	21C	25C	CV_raw	CV	Bd_n	cClean
Con_2020-09-07_0_Rep3	16	0	Rep3	CV	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-07_0_Rep3	20	0	Rep3	Bd	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-07_0_Rep4	5	0	Rep4	Bd	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Con_2020-09-07_0_Rep4	14	0	Rep4	CV	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_1_Rep3	1	1	Rep3	Bd	2020-09-07	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_1_Rep3	7	1	Rep3	CV	2020-09-07	Inhib	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_1_Rep4	11	1	Rep4	Bd	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_1_Rep4	13	1	Rep4	CV	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_10_Rep3	4	10	Rep3	CV	2020-09-07	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_10_Rep3	12	10	Rep3	Bd	2020-09-07	Inhib	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_10_Rep4	17	10	Rep4	Bd	2020-09-07	Inhib	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_10_Rep4	26	10	Rep4	CV	2020-09-07	Inhib	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_3_Rep3	18	3	Rep3	Bd	2020-09-07	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
Inhib_2020-09-07_3_Rep3	24	3	Rep3	CV	2020-09-07	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_3_Rep4	3	3	Rep4	Bd	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Inhib_2020-09-07_3_Rep4	23	3	Rep4	CV	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_1_Rep3	6	1	Rep3	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
Non_2020-09-07_1_Rep3	28	1	Rep3	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_1_Rep4	9	1	Rep4	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_1_Rep4	10	1	Rep4	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
Non_2020-09-07_10_Rep3	19	10	Rep3	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_10_Rep3	21	10	Rep3	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_10_Rep4	2	10	Rep4	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	TRUE
Non_2020-09-07_10_Rep4	27	10	Rep4	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	TRUE
Non_2020-09-07_3_Rep3	15	3	Rep3	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
Non_2020-09-07_3_Rep3	25	3	Rep3	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_3_Rep4	8	3	Rep4	Bd	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Non_2020-09-07_3_Rep4	22	3	Rep4	CV	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
