IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	5	NA	Rep3	2020-09-07	L1	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	5	NA	Rep3	2020-09-07	L2	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	5	NA	Rep3	2020-09-07	L3	10
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep4	2020-09-07	L1	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep4	2020-09-07	L2	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep4	2020-09-07	L3	10
20A	Bacillus_wiedmannii	1.59033333333333	1.5	14.38	TRUE	Inhib	7	NA	Rep4	2020-09-07	L1	NA
20A	Bacillus_wiedmannii	1.59033333333333	1.5	14.38	TRUE	Inhib	7	NA	Rep4	2020-09-07	L2	NA
20A	Bacillus_wiedmannii	1.59033333333333	1.5	14.38	TRUE	Inhib	7	NA	Rep4	2020-09-07	L3	10
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep3	2020-09-07	L1	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep3	2020-09-07	L2	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep3	2020-09-07	L3	10
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	9	NA	Rep4	2020-09-07	L1	NA
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	9	NA	Rep4	2020-09-07	L2	NA
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	9	NA	Rep4	2020-09-07	L3	10
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	6	NA	Rep4	2020-09-07	L1	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	6	NA	Rep4	2020-09-07	L2	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	6	NA	Rep4	2020-09-07	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep3	2020-09-07	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep3	2020-09-07	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	9	NA	Rep3	2020-09-07	L3	10
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep3	2020-09-07	L1	NA
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep3	2020-09-07	L2	NA
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep3	2020-09-07	L3	10
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep4	2020-09-07	L1	NA
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep4	2020-09-07	L2	NA
25A	Pseudomonas_asturiensis	0.309333333333333	0	8.53	TRUE	Non	4	NA	Rep4	2020-09-07	L3	10
25C	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	Non	10	NA	Rep4	2020-09-07	L1	NA
25C	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	Non	10	NA	Rep4	2020-09-07	L2	NA
25C	Yersinia_kristensenii	0.206666666666667	0	8.03	TRUE	Non	10	NA	Rep4	2020-09-07	L3	10
2E	Pseudomonas_lurida	0.549666666666667	1.5	7.5	TRUE	Inhib	5	NA	Rep4	2020-09-07	L1	NA
2E	Pseudomonas_lurida	0.549666666666667	1.5	7.5	TRUE	Inhib	5	NA	Rep4	2020-09-07	L2	NA
2E	Pseudomonas_lurida	0.549666666666667	1.5	7.5	TRUE	Inhib	5	NA	Rep4	2020-09-07	L3	10
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep3	2020-09-07	L1	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep3	2020-09-07	L2	NA
2F	Pseudomonas_orientalis	1.302	10	7.33	TRUE	Inhib	10	NA	Rep3	2020-09-07	L3	10
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	1	NA	Rep3	2020-09-07	L1	1
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	1	NA	Rep3	2020-09-07	L2	3
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	1	NA	Rep3	2020-09-07	L3	10
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	10	NA	Rep4	2020-09-07	L1	NA
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	10	NA	Rep4	2020-09-07	L2	NA
2H	Acinetobacter_radioresistens	0.182333333333333	2	10.64	TRUE	Inhib	10	NA	Rep4	2020-09-07	L3	10
32E	Pseudomonas_mucidolens	0.343666666666667	2.5	6.32	TRUE	Inhib	8	NA	Rep3	2020-09-07	L1	NA
32E	Pseudomonas_mucidolens	0.343666666666667	2.5	6.32	TRUE	Inhib	8	NA	Rep3	2020-09-07	L2	NA
32E	Pseudomonas_mucidolens	0.343666666666667	2.5	6.32	TRUE	Inhib	8	NA	Rep3	2020-09-07	L3	10
32G	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	Non	2	NA	Rep3	2020-09-07	L1	NA
32G	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	Non	2	NA	Rep3	2020-09-07	L2	3
32G	Stenotrophomonas_pavanii	0.694333333333333	0	15.27	TRUE	Non	2	NA	Rep3	2020-09-07	L3	10
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep4	2020-09-07	L1	NA
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep4	2020-09-07	L2	NA
33D	Methylorubrum_extorquens	0.169666666666667	1	24.42	TRUE	Inhib	4	NA	Rep4	2020-09-07	L3	10
34B	Pseudomonas_brenneri	1.12366666666667	3	8.37	TRUE	Inhib	4	NA	Rep3	2020-09-07	L1	NA
